metric_name,corr_type,pval_type,corr_avg,corr_std,FlyWing,Ovules,PNAS
DO_ARS,kt,score,0.6900000000000001,0.08660254037844388,0.64,0.64,0.79
DO_ARS,kt,pval,,,0.03,0.02,0.01
DO_ARS,s rho,score,0.8266666666666667,0.06350852961085883,0.79,0.79,0.9
DO_ARS,s rho,pval,,,0.04,0.02,0.01
DO_ARS,pr,score,0.91,0.03605551275463988,0.94,0.87,0.92
DO_ARS,pr,pval,,,0.0,0.0,0.0
Gauss_ARS,kt,score,0.69,0.15132745950421558,0.57,0.64,0.86
Gauss_ARS,kt,pval,,,0.06,0.04,0.0
Gauss_ARS,s rho,score,0.8266666666666667,0.09073771725877469,0.76,0.79,0.93
Gauss_ARS,s rho,pval,,,0.03,0.03,0.01
Gauss_ARS,pr,score,0.8966666666666666,0.03785938897200179,0.94,0.88,0.87
Gauss_ARS,pr,pval,,,0.0,0.0,0.0
SEG_eq,kt,score,0.5266666666666667,0.2307234997422962,0.43,0.36,0.79
SEG_eq,kt,pval,,,0.16,0.27,0.0
SEG_eq,s rho,score,0.6766666666666667,0.2193931022920578,0.55,0.55,0.93
SEG_eq,s rho,pval,,,0.18,0.21,0.0
SEG_eq,pr,score,0.93,0.05567764362830021,0.88,0.92,0.99
SEG_eq,pr,pval,,,0.0,0.0,0.0
SEG_uneq,kt,score,0.12,0.4877499359302879,-0.43,0.29,0.5
SEG_uneq,kt,pval,,,0.19,0.41,0.14
SEG_uneq,s rho,score,0.16333333333333333,0.6813467056743823,-0.6,0.38,0.71
SEG_uneq,s rho,pval,,,0.11,0.34,0.06
SEG_uneq,pr,score,0.31,1.0223502335305648,-0.87,0.87,0.93
SEG_uneq,pr,pval,,,0.0,0.0,0.0
