metric_name,corr_type,pval_type,EPFL,Hmito,Rmito,VNC
CCFV,kt,score,0.03,-0.09,-0.21,-0.18
CCFV,kt,pval,0.9,0.74,0.3,0.48
CCFV,s rho,score,0.02,-0.15,-0.29,-0.22
CCFV,s rho,pval,0.96,0.58,0.31,0.45
CCFV,pr,score,-0.03,-0.17,-0.23,-0.29
CCFV,pr,pval,0.92,0.54,0.4,0.36
DO_EI,kt,score,0.85,0.68,0.77,0.61
DO_EI,kt,pval,0.0,0.0,0.0,0.01
DO_EI,s rho,score,0.96,0.83,0.9,0.76
DO_EI,s rho,pval,0.0,0.0,0.0,0.01
DO_EI,pr,score,0.95,0.79,0.94,0.78
DO_EI,pr,pval,0.0,0.0,0.0,0.0
DO_NHD,kt,score,0.81,0.62,0.69,0.64
DO_NHD,kt,pval,0.0,0.0,0.0,0.01
DO_NHD,s rho,score,0.94,0.77,0.88,0.82
DO_NHD,s rho,pval,0.0,0.0,0.0,0.0
DO_NHD,pr,score,0.96,0.74,0.87,0.79
DO_NHD,pr,pval,0.0,0.0,0.0,0.0
Disp,kt,score,0.03,-0.07,-0.06,0.0
Disp,kt,pval,0.94,0.76,0.73,1.0
Disp,s rho,score,0.05,-0.12,-0.12,-0.08
Disp,s rho,pval,0.87,0.66,0.66,0.81
Disp,pr,score,-0.07,-0.25,-0.2,-0.17
Disp,pr,pval,0.81,0.36,0.49,0.6
GBC,kt,score,0.45,0.43,0.34,0.33
GBC,kt,pval,0.02,0.04,0.09,0.15
GBC,s rho,score,0.6,0.54,0.51,0.41
GBC,s rho,pval,0.01,0.04,0.06,0.17
GBC,pr,score,0.65,0.54,0.47,0.23
GBC,pr,pval,0.01,0.04,0.08,0.48
Gauss_EI,kt,score,0.87,0.73,0.88,0.58
Gauss_EI,kt,pval,0.0,0.0,0.0,0.01
Gauss_EI,s rho,score,0.95,0.87,0.95,0.65
Gauss_EI,s rho,pval,0.0,0.0,0.0,0.03
Gauss_EI,pr,score,0.91,0.8,0.85,0.75
Gauss_EI,pr,pval,0.0,0.0,0.0,0.0
Gauss_NHD,kt,score,0.81,0.7,0.77,0.55
Gauss_NHD,kt,pval,0.0,0.0,0.0,0.01
Gauss_NHD,s rho,score,0.93,0.82,0.92,0.64
Gauss_NHD,s rho,pval,0.0,0.0,0.0,0.03
Gauss_NHD,pr,score,0.91,0.75,0.71,0.77
Gauss_NHD,pr,pval,0.0,0.0,0.0,0.0
Hscore,kt,score,-0.12,0.33,0.36,0.36
Hscore,kt,pval,0.58,0.1,0.06,0.11
Hscore,s rho,score,-0.21,0.5,0.53,0.5
Hscore,s rho,pval,0.46,0.05,0.04,0.09
Hscore,pr,score,0.0,0.49,0.46,0.54
Hscore,pr,pval,1.0,0.07,0.08,0.07
LEEP,kt,score,0.79,0.9,0.94,0.91
LEEP,kt,pval,0.0,0.0,0.0,0.0
LEEP,s rho,score,0.89,0.98,0.98,0.98
LEEP,s rho,pval,0.0,0.0,0.0,0.0
LEEP,pr,score,0.96,0.96,0.98,0.98
LEEP,pr,pval,0.0,0.0,0.0,0.0
LogME,kt,score,-0.24,0.1,0.25,0.21
LogME,kt,pval,0.23,0.61,0.22,0.39
LogME,s rho,score,-0.33,0.17,0.32,0.25
LogME,s rho,pval,0.23,0.56,0.24,0.43
LogME,pr,score,-0.3,0.05,0.09,0.41
LogME,pr,pval,0.27,0.85,0.75,0.18
NCTI,kt,score,-0.05,0.3,0.27,0.33
NCTI,kt,pval,0.85,0.14,0.16,0.13
NCTI,s rho,score,-0.07,0.42,0.35,0.44
NCTI,s rho,pval,0.75,0.12,0.23,0.17
NCTI,pr,score,0.07,0.42,0.42,0.58
NCTI,pr,pval,0.81,0.12,0.12,0.05
NLEEP,kt,score,0.26,0.77,0.65,-0.06
NLEEP,kt,pval,0.21,0.0,0.0,0.86
NLEEP,s rho,score,0.32,0.9,0.82,-0.06
NLEEP,s rho,pval,0.23,0.0,0.0,0.92
NLEEP,pr,score,0.26,0.66,0.63,-0.01
NLEEP,pr,pval,0.34,0.01,0.01,0.97
NuNo,kt,score,0.49,0.2,0.06,-0.06
NuNo,kt,pval,0.01,0.28,0.85,0.87
NuNo,s rho,score,0.67,0.2,-0.03,-0.03
NuNo,s rho,pval,0.01,0.51,0.92,0.9
NuNo,pr,score,0.52,0.1,-0.05,-0.04
NuNo,pr,pval,0.05,0.71,0.86,0.9
RegHscore,kt,score,-0.12,0.31,0.4,0.36
RegHscore,kt,pval,0.52,0.12,0.03,0.1
RegHscore,s rho,score,-0.21,0.49,0.58,0.5
RegHscore,s rho,pval,0.44,0.06,0.04,0.11
RegHscore,pr,score,0.0,0.48,0.46,0.54
RegHscore,pr,pval,1.0,0.07,0.08,0.07
TS,kt,score,0.54,0.28,0.08,0.09
TS,kt,pval,0.01,0.14,0.77,0.74
TS,s rho,score,0.72,0.33,0.02,0.11
TS,s rho,pval,0.01,0.23,0.94,0.7
TS,pr,score,0.6,0.19,0.14,0.0
TS,pr,pval,0.02,0.5,0.62,0.99
