metric_name,corr_type,pval_type,corr_avg,corr_std,EPFL,Hmito,Rmito,VNC
DO_EI,kt,score,0.7274999999999999,0.10468205831628136,0.85,0.68,0.77,0.61
DO_EI,kt,pval,,,0.0,0.0,0.0,0.0
DO_EI,s rho,score,0.8625,0.08655441448399188,0.96,0.83,0.9,0.76
DO_EI,s rho,pval,,,0.0,0.0,0.0,0.01
DO_EI,pr,score,0.865,0.0925562891794321,0.95,0.79,0.94,0.78
DO_EI,pr,pval,,,0.0,0.0,0.0,0.0
DO_NHD,kt,score,0.6900000000000001,0.08524474568362951,0.81,0.62,0.69,0.64
DO_NHD,kt,pval,,,0.0,0.0,0.0,0.01
DO_NHD,s rho,score,0.8524999999999999,0.07365459931328115,0.94,0.77,0.88,0.82
DO_NHD,s rho,pval,,,0.0,0.0,0.0,0.0
DO_NHD,pr,score,0.84,0.09626352718795766,0.96,0.74,0.87,0.79
DO_NHD,pr,pval,,,0.0,0.0,0.0,0.0
Disp,kt,score,-0.025,0.04795831523312719,0.03,-0.07,-0.06,0.0
Disp,kt,pval,,,0.94,0.76,0.73,1.0
Disp,s rho,score,-0.0675,0.0805708797684788,0.05,-0.12,-0.12,-0.08
Disp,s rho,pval,,,0.87,0.66,0.66,0.81
Disp,pr,score,-0.17250000000000001,0.07588368291888141,-0.07,-0.25,-0.2,-0.17
Disp,pr,pval,,,0.81,0.36,0.49,0.6
Gauss_EI,kt,score,0.765,0.14106735979665885,0.87,0.73,0.88,0.58
Gauss_EI,kt,pval,,,0.0,0.0,0.0,0.01
Gauss_EI,s rho,score,0.8549999999999999,0.1417744687875782,0.95,0.87,0.95,0.65
Gauss_EI,s rho,pval,,,0.0,0.0,0.0,0.03
Gauss_EI,pr,score,0.8275,0.06849574196011506,0.91,0.8,0.85,0.75
Gauss_EI,pr,pval,,,0.0,0.0,0.0,0.0
Gauss_NHD,kt,score,0.7075,0.11441882129556599,0.81,0.7,0.77,0.55
Gauss_NHD,kt,pval,,,0.0,0.0,0.0,0.03
Gauss_NHD,s rho,score,0.8275,0.13450526631573453,0.93,0.82,0.92,0.64
Gauss_NHD,s rho,pval,,,0.0,0.0,0.0,0.05
Gauss_NHD,pr,score,0.785,0.08698658900466595,0.91,0.75,0.71,0.77
Gauss_NHD,pr,pval,,,0.0,0.0,0.0,0.0
NuNo,kt,score,0.1725,0.23683679331275084,0.49,0.2,0.06,-0.06
NuNo,kt,pval,,,0.01,0.28,0.85,0.87
NuNo,s rho,score,0.2025,0.3299873734958153,0.67,0.2,-0.03,-0.03
NuNo,s rho,pval,,,0.01,0.51,0.92,0.9
NuNo,pr,score,0.13249999999999998,0.2672545602978554,0.52,0.1,-0.05,-0.04
NuNo,pr,pval,,,0.05,0.71,0.86,0.9
TS,kt,score,0.2475,0.21561926320870933,0.54,0.28,0.08,0.09
TS,kt,pval,,,0.01,0.14,0.77,0.74
TS,s rho,score,0.29500000000000004,0.31182259913824933,0.72,0.33,0.02,0.11
TS,s rho,pval,,,0.01,0.23,0.94,0.7
TS,pr,score,0.2325,0.25785978101803053,0.6,0.19,0.14,0.0
TS,pr,pval,,,0.02,0.5,0.62,0.99
