metric_name,corr_type,pval_type,corr_avg,corr_std,BBBC039,Hoechst,S_BIAD895,S_BIAD634
DO_ARS,kt,score,0.8,0.282842712474619,0.4,1.0,1.0,0.8
DO_ARS,kt,pval,,,0.5,0.02,0.08,0.09
DO_ARS,s rho,score,0.85,0.23804761428476165,0.5,1.0,1.0,0.9
DO_ARS,s rho,pval,,,0.48,0.02,0.08,0.09
DO_ARS,pr,score,0.845,0.11269427669584646,0.95,0.93,0.72,0.78
DO_ARS,pr,pval,,,0.02,0.02,0.28,0.12
Gauss_ARS,kt,score,0.7175,0.25144581921360315,0.4,1.0,0.67,0.8
Gauss_ARS,kt,pval,,,0.44,0.01,0.33,0.07
Gauss_ARS,s rho,score,0.8250000000000001,0.17078251276599332,0.6,1.0,0.8,0.9
Gauss_ARS,s rho,pval,,,0.34,0.02,0.33,0.13
Gauss_ARS,pr,score,0.79,0.2051016008388688,0.5,0.93,0.94,0.79
Gauss_ARS,pr,pval,,,0.39,0.02,0.06,0.11
SEG_eq,kt,score,0.0,0.4898979485566356,0.0,0.6,0.0,-0.6
SEG_eq,kt,pval,,,1.0,0.28,1.0,0.26
SEG_eq,s rho,score,-0.07500000000000001,0.6601767440112787,-0.1,0.8,-0.2,-0.8
SEG_eq,s rho,pval,,,0.92,0.13,0.92,0.14
SEG_eq,pr,score,-0.2475,0.6990648515457395,-0.66,0.79,-0.45,-0.67
SEG_eq,pr,pval,,,0.23,0.11,0.55,0.22
SEG_uneq,kt,score,0.4825,0.42334973721498875,0.0,0.6,0.33,1.0
SEG_uneq,kt,pval,,,1.0,0.24,0.75,0.02
SEG_uneq,s rho,score,0.525,0.4856267428111155,-0.1,0.8,0.4,1.0
SEG_uneq,s rho,pval,,,0.96,0.12,0.75,0.03
SEG_uneq,pr,score,0.125,0.721133367230593,-0.57,0.82,-0.42,0.67
SEG_uneq,pr,pval,,,0.32,0.09,0.58,0.21
