metric_name,corr_type,pval_type,corr_avg,corr_std,BBBC039,DSB2018,Hoechst,S_BIAD895
CCFV,kt,score,-0.0325,0.30510927004381017,0.05,0.05,0.24,-0.47
CCFV,kt,pval,,,0.97,1.0,0.53,0.28
CCFV,s rho,score,-0.05249999999999999,0.37160687112413116,0.14,0.04,0.21,-0.6
CCFV,s rho,pval,,,0.82,0.93,0.64,0.27
CCFV,pr,score,-0.1625,0.5168736144681149,-0.31,-0.01,0.45,-0.78
CCFV,pr,pval,,,0.51,0.99,0.31,0.07
DO_EI,kt,score,0.74,0.16227548592850782,0.9,0.81,0.52,0.73
DO_EI,kt,pval,,,0.01,0.01,0.15,0.04
DO_EI,s rho,score,0.8475,0.10594810050208546,0.96,0.89,0.71,0.83
DO_EI,s rho,pval,,,0.01,0.02,0.11,0.06
DO_EI,pr,score,0.8975,0.09287087810503353,0.98,0.77,0.89,0.95
DO_EI,pr,pval,,,0.0,0.04,0.01,0.0
DO_NHD,kt,score,0.715,0.15545631755148026,0.9,0.52,0.71,0.73
DO_NHD,kt,pval,,,0.0,0.16,0.04,0.05
DO_NHD,s rho,score,0.8400000000000001,0.11916375287812982,0.96,0.68,0.89,0.83
DO_NHD,s rho,pval,,,0.0,0.14,0.01,0.06
DO_NHD,pr,score,0.6200000000000001,0.3695943722515266,0.97,0.1,0.67,0.74
DO_NHD,pr,pval,,,0.0,0.82,0.1,0.1
Dispersion,kt,score,-0.1775,0.2987055406248769,0.24,-0.24,-0.24,-0.47
Dispersion,kt,pval,,,0.54,0.56,0.53,0.29
Dispersion,s rho,score,-0.2925,0.3729499519595983,0.25,-0.43,-0.39,-0.6
Dispersion,s rho,pval,,,0.58,0.36,0.44,0.26
Dispersion,pr,score,-0.1925,0.49500000000000005,0.43,-0.02,-0.62,-0.56
Dispersion,pr,pval,,,0.33,0.97,0.14,0.25
GBC,kt,score,-0.1275,0.290215437218629,-0.14,-0.14,0.24,-0.47
GBC,kt,pval,,,0.8,0.82,0.54,0.29
GBC,s rho,score,-0.16499999999999998,0.39534794801541584,-0.21,-0.21,0.36,-0.6
GBC,s rho,pval,,,0.67,0.65,0.45,0.21
GBC,pr,score,-0.07999999999999999,0.39268307832143723,-0.16,0.11,0.32,-0.59
GBC,pr,pval,,,0.72,0.81,0.48,0.22
Gauss_EI,kt,score,0.62,0.11575836902790224,0.71,0.52,0.52,0.73
Gauss_EI,kt,pval,,,0.03,0.14,0.13,0.05
Gauss_EI,s rho,score,0.77,0.08831760866327844,0.86,0.68,0.71,0.83
Gauss_EI,s rho,pval,,,0.03,0.11,0.08,0.05
Gauss_EI,pr,score,0.9775,0.032015621187164216,1.0,0.99,0.93,0.99
Gauss_EI,pr,pval,,,0.0,0.0,0.0,0.0
Gauss_NHD,kt,score,0.685,0.09609023536933052,0.71,0.81,0.62,0.6
Gauss_NHD,kt,pval,,,0.02,0.01,0.06,0.13
Gauss_NHD,s rho,score,0.82,0.07874007874011812,0.86,0.89,0.82,0.71
Gauss_NHD,s rho,pval,,,0.03,0.02,0.03,0.12
Gauss_NHD,pr,score,0.975,0.0378593889720018,1.0,1.0,0.92,0.98
Gauss_NHD,pr,pval,,,0.0,0.0,0.0,0.0
Hscore,kt,score,0.28500000000000003,0.5183628073077774,0.33,-0.14,-0.05,1.0
Hscore,kt,pval,,,0.33,0.78,1.0,0.01
Hscore,s rho,score,0.25,0.58,0.36,-0.36,0.0,1.0
Hscore,s rho,pval,,,0.46,0.45,1.0,0.01
Hscore,pr,score,0.3075,0.35509388429916205,0.36,0.13,-0.04,0.78
Hscore,pr,pval,,,0.43,0.77,0.94,0.07
LEEP,kt,score,0.665,0.37009007912488906,0.81,0.71,0.14,1.0
LEEP,kt,pval,,,0.02,0.04,0.77,0.0
LEEP,s rho,score,0.7675,0.30434355587066403,0.89,0.86,0.32,1.0
LEEP,s rho,pval,,,0.01,0.02,0.51,0.01
LEEP,pr,score,0.9375,0.012583057392117876,0.95,0.92,0.94,0.94
LEEP,pr,pval,,,0.0,0.0,0.0,0.01
LogME,kt,score,-0.2,0.26394443859772204,0.14,-0.14,-0.33,-0.47
LogME,kt,pval,,,0.82,0.78,0.41,0.25
LogME,s rho,score,-0.2825,0.3498928407384181,0.18,-0.21,-0.5,-0.6
LogME,s rho,pval,,,0.67,0.68,0.24,0.23
LogME,pr,score,-0.49,0.34583232931581165,-0.36,-0.54,-0.12,-0.94
LogME,pr,pval,,,0.43,0.21,0.8,0.01
NCTI,kt,score,0.28500000000000003,0.5183628073077774,0.33,-0.14,-0.05,1.0
NCTI,kt,pval,,,0.39,0.76,1.0,0.0
NCTI,s rho,score,0.25,0.58,0.36,-0.36,0.0,1.0
NCTI,s rho,pval,,,0.45,0.45,1.0,0.01
NCTI,pr,score,0.3025,0.32107891034240577,0.37,0.14,-0.02,0.72
